Parent;Id;Sex;Birth date;Sire;Dam;Birth place;Location;Avg time between calves (years);Age on first calf (years);Offspring Count
Sire;627;m;1981-03-03;40;397;MEMPHIS;ERFURT;1,6;20,8;6
;1393;m;2001-12-06;627;1207;ERFURT;SCHWERIN;0;;
;1489;m;2004-09-26;627;1207;ERFURT;PELISSANE;0;;
;1581;m;2005-07-11;627;1208;ERFURT;DORTMUND;0;;
;1609;f;2007-01-15;627;1208;ERFURT;WHIPSNADE;0;;
;1617;f;2008-01-06;627;1207;ERFURT;GIVSKUD;0;;
;1996;m;2009-10-29;627;1207;ERFURT;KERKRADE;0;;
Sire;487;m;1978-09-28;244;240;RAMAT GAN;JERUSALEM;2,5;15,0;2
;1028;f;1993-09-17;487;641;RAMAT GAN;RAMAT GAN;0;;
;1084;f;1996-03-28;487;641;RAMAT GAN;RAMAT GAN;0;;
Sire;76;m;1969-10-23;57;59;PRETORIA;HILVARENB;5,9;11,2;5
;715;m;1981-01-11;76;291;ANTWERP;ANTWERP;0;;
;1203;f;1998-08-27;76;225;HILVARENB;HILVARENB;0;;
;1350;f;2000-12-17;76;225;HILVARENB;HILVARENB;0;;
;1467;f;2003-02-07;76;225;HILVARENB;HILVARENB;0;;
;1490;m;2004-08-27;76;225;HILVARENB;SCHMIDING;0;;
Sire;91;m;1968-08-01;wild;wild;UMFOLOZI;THOIRY;4,7;19,3;2
;1351;f;1987-11-28;91;651;PARIS ZOO;PARIS ZOO;0;;
;1025;m;1992-08-08;91;651;PARIS ZOO;ARNHEM;0;;
Sire;93;m;1962-01-01;wild;wild;UMFOLOZI;COPENHAGE;1,2;12,9;7
;231;f;1974-12-04;93;140;COPENHAGE;BANDHOLM;0;;
;232;m;1974-12-14;93;141;COPENHAGE;BANDHOLM;0;;
;382;m;1976-12-21;93;140;COPENHAGE;GIVSKUD;0;;
;571;m;1978-01-16;93;141;COPENHAGE;GIVSKUD;0;;
;572;m;1979-01-17;93;140;COPENHAGE;COPENHAGE;0;;
;1126;?;1979-10-18;93;141;COPENHAGE;COPENHAGE;0;;
;1127;?;1982-04-15;93;140;COPENHAGE;COPENHAGE;0;;
Sire;1010;m;1992-11-16;89;329;WHIPSNADE;LISIEUX Z;0;18,8;1
;2063;m;2011-08-30;1010;1561;LISIEUX Z;LISIEUX Z;0;;
Sire;193;m;1968-01-01;wild;wild;UMFOLOZI;PELISSANE;2,5;10,9;2
;493;m;1978-11-13;193;494;HODENHAGN;HODENHAGN;0;;
;645;m;1981-05-26;193;495;GENK;GENK;0;;
Sire;180;m;1965-01-01;wild;wild;UMFOLOZI;UMFOLOZI;3,1;14,4;3
;549;m;1979-05-22;180;182;SAN ANTON;MOSCOW;0;;
;583;f;1980-01-26;180;181;SAN ANTON;SCHWERIN;0;;
;831;f;1985-07-09;180;182;SAN ANTON;SAN ANTON;0;;
Sire;355;m;1966-01-01;wild;wild;UMFOLOZI;WOBURNLTD;2,6;11,9;4
;476;f;1977-11-11;355;351;DVURKRALV;DVURKRALV;0;;
;712;m;1977-11-13;355;352;KNOWSLEY;KNOWSLEY;0;;
;828;m;1983-11-23;355;352;KNOWSLEY;MARWELL;0;;
;829;m;1985-08-25;355;352;KNOWSLEY;KESSINGLA;0;;
Sire;492;m;1957-01-01;wild;wild;UMFOLOZI;UMFOLOZI;0;23,5;1
;581;m;1980-06-12;492;496;HODENHAGN;HODENHAGN;0;;
Sire;1004;m;1993-09-13;491;494;HODENHAGN;HODENHAGN;0,9;12,6;7
;1590;f;2006-04-01;1004;1220;HODENHAGN;HODENHAGN;0;;
;1592;f;2006-05-22;1004;1280;HODENHAGN;HODENHAGN;0;;
;1628;f;2007-12-17;1004;1220;HODENHAGN;OSNABRUCK;0;;
;1691;f;2008-11-22;1004;1280;HODENHAGN;VESZPREM;0;;
;2021;f;2009-08-30;1004;1220;HODENHAGN;HODENHAGN;0;;
;T109;f;2011-02-21;1004;1697;HODENHAGN;HODENHAGN;0;;
;2022;m;2011-09-27;1004;1220;HODENHAGN;HODENHAGN;0;;
Sire;343;m;1971-01-01;wild;wild;UMFOLOZI;EMMEN;1,8;25,2;3
;1156;m;1996-03-18;343;907;EMMEN;EMMEN;0;;
;1183;m;1998-02-27;343;907;EMMEN;KOLMARDEN;0;;
;1288;m;1999-11-01;343;907;EMMEN;EMMEN;0;;
Sire;405;m;1969-01-01;wild;wild;HLUHLUWE;HLUHLUWE;0;18,4;1
;931;f;1987-05-30;405;406;PRET LICH;POZNAN;0;;
Sire;420;m;1969-12-31;wild;wild;UMFOLOZI;UMFOLOZI;0,4;15,6;8
;843;m;1985-08-20;420;157;SD-WAP;SD-WAP;0;;
;862;m;1986-07-06;420;277;SD-WAP;SD-WAP;0;;
;863;f;1986-08-09;420;154;SD-WAP;AUGSBURG;0;;
;864;m;1986-09-23;420;159;SD-WAP;SIGEAN;0;;
;908;m;1987-01-29;420;157;SD-WAP;SD-WAP;0;;
;925;f;1988-01-26;420;277;SD-WAP;SD-WAP;0;;
;926;m;1988-02-15;420;147;SD-WAP;SD-WAP;0;;
;929;f;1988-08-04;420;159;SD-WAP;SIGEAN;0;;
Sire;1095;m;1970-01-01;wild;wild;UMFOLOZI;KESSINGLA;0;15,0;1
;1248;f;1985-01-08;1095;197;WOBURNLTD;WOBURNLTD;0;;
Sire;319;m;1969-01-01;wild;wild;UMFOLOZI;UMFOLOZI;0;8,5;1
;404;m;1977-06-13;319;403;MUNSTER;CABARCENO;0;;
Sire;1013;m;1986-01-01;wild;wild;KRUGER;LISBON;0;24,9;1
;2059;m;2010-12-07;1013;1570;LISBON;LISBON;0;;
Sire;89;m;1968-01-01;wild;wild;UMFOLOZI;LONGLEAT;1,3;8,7;15
;328;f;1976-09-24;89;106;WHIPSNADE;WHIPSNADE;0;;
;490;m;1979-04-29;89;105;WHIPSNADE;WHIPSNADE;0;;
;504;f;1979-09-26;89;104;WHIPSNADE;KESSINGLA;0;;
;800;m;1984-09-23;89;103;WHIPSNADE;SOFIAZOO;0;;
;833;m;1985-10-21;89;102;WHIPSNADE;JERUSALEM;0;;
