Stud#;sex;Birth date ;sire;dam;birth place;current location;Date of death;Age/years;Cause of death;location 2;date;location 3;date;location 4;date;location 5;date;location 6;date;location 7;date;;;;;;;;;
1;m;Aug 59;wild;wild;UMFOLOZI;BERLINZOO;08.01.2002;42,46849315;euthanasia;UMFOLOZI;01.10.1960;NATAL PB;16.04.1963;BERLINZOO;08.01.2002;;;;;;;;;;;;;;all;731
2;f;Aug 60;wild;wild;UMFOLOZI;BERLINZOO;08.04.1992;31,70684932;Anesth/restraint, cardiovascular circulatory;UMFOLOZI;01.10.1960;NATAL PB;01.04.1963;BERLINZOO;26.08.1963;MUNSTER;04.10.1983;BERLINZOO;21.05.1984;;;;;;;;;;m;330
3;m;01.01.1959;wild;wild;S. AFRICA;LODZ;16.02.2005;46,15890411;malicious destruction, respiratory;S. AFRICA;31.12.1959;UMFOLOZI;31.12.1959;L RUHE;01.08.1964;BERLIN TP;28.08.1964;LODZ;18.09.1986;;;;;;;;;;f;395
4;f;01.01.1954;wild;wild;UMFOLOZI;BERLIN TP;18.09.1970;16,72328767;cardiovascular circulatory;UMFOLOZI;01.01.1954;UMFOLOZI;01.08.1964;L RUHE;28.08.1964;BERLIN TP;;;;;;;;;;;;;?;5
5;m;01.01.1959;wild;wild;UMFOLOZI;BERLIN TP;20.05.2008;49,41643836;unk;UMFOLOZI;01.01.1962;L RUHE;01.11.1965;L RUHE;12.11.1965;DRESDEN  Z;26.09.1989;BERLIN TP;;;;;;;;;;;h;1
6;f;Feb 63;wild;wild;UMFOLOZI;DRESDEN;14.05.1986;23,29589041;cardiovascular circulatory;UMFOLOZI;01.06.1963;L RUHE;01.01.1965;DRESDEN Z;14.08.1965;;;;;;;;;;;;;;;
7;m;01.01.1965;wild;wild;UMFOLOZI;GIVSKUD;18.12.1995;30,98082192;old age;UMFOLOZI;01.05.1965;L RUHE;01.05.1967;GELSNKRKN;20.05.1967;LEIPZIG;23.08.1968;BANDHOLM;21.07.1993;GIVSKUD;31.12.1994;;;;;;;;;
8;f;01.01.1963;wild;wild;UMFOLOZI;BANDHOLM;06.04.1999;36,28493151;euthanasia, cardiovascular circulatory;UMFOLOZI;01.01.1965;L RUHE;01.05.1967;GELSNKRKN;20.05.1967;LEIPZIG;23.08.1993;BANDHOLM;21.07.1993;;;;;;;;;;;
9;m;01.01.1962;wild;wild;UMFOLOZI;BORAS;23.10.2002;40,83561644;unk;UMFOLOZI;01.01.1962;L RUHE;01.08.1965;BORAS;06.09.1965;;;;;;;;;;;;;;;
10;f;01.01.1962;wild;wild;UMFOLOZI;BORAS;18.10.2006;44,82465753;unk;UMFOLOZI;01.01.1962;L RUHE;01.08.1965;BORAS;06.09.1965;;;;;;;;;;;;;;;
11;m;01.01.1963;wild;wild;UMFOLOZI;KOLMARDEN;05.06.2002;39,45205479;euthanasia;UMFOLOZI;02.05.1964;DELFTS;25.02.1965;KRAG C;29.05.1965;KOLMARDEN;02.05.1966;;;;;;;;;;;;;
12;f;01.01.1963;wild;wild;UMFOLOZI;KOLMARDEN;02.10.2002;39,77808219;euthanasia;UMFOLOZI;01.01.1964;DELFTS;25.02.1964;KRAG C;29.05.1965;COPENHAGE;15.10.1966;;;;;;;;;;;;;
13;m;01.01.1959;wild;wild;MALAWI;;01.05.1995;36,35342466;;MALAWI;01.01.1959;ROTTERDAM;04.07.1963;GENK;08.04.1983;;;;;;;;;;;;;;;
14;f;01.01.1959;wild;wild;MALAWI;;01.05.1995;36,35342466;;MALAWI;01.01.1960;BLANTYRE;01.01.1961;ROTTERDAM;04.07.1963;GENK;07.07.1982;;;;;;;;;;;;;
15;m;Dez 47;wild;wild;SUDAN;ANTWERP;13.04.1968;20,38082192;Infection respiratory bacterial;SUDAN;01.08.1948;ANTWERP;07.04.1950;;;;;;;;;;;;;;;;;
16;f;06.06.1948;wild;wild;SUDAN;ANTWERP;07.08.1985;37,19452055;unk;SUDAN;01.06.1948;ANTWERP;07.04.1950;;;;;;;;;;;;;;;;;
17;m;01.01.1957;wild;wild;UMFOLOZI;AUGSBURG;21.09.2006;49,75342466;unk;UMFOLOZI;01.01.1961;L RUHE;27.08.1964;ZURICH;24.05.1965;AUGSBURG;10.06.1980;;;;;;;;;;;;;
18;f;01.01.1957;wild;wild;UMFOLOZI;AUGSBURG;30.05.2007;50,44109589;unk;UMFOLOZI;01.01.1961;L RUHE;27.08.1964;ZURICH;24.05.1965;AUGSBURG;10.06.1980;;;;;;;;;;;;;
19;m;01.01.1950;wild;wild;UGANDA;DVURKRALV;25.06.1990;40,50684932;euthanasia;UGANDA;01.01.1950;SEAGO;01.06.1955;LONDON RP;25.07.1955;DVURKRALV;27.08.1986;;;;;;;;;;;;;
20;f;01.01.1958;wild;wild;UMFOLOZI;GLASGOW;16.12.1995;37,98082192;infection, digestive mechanical abnormality;UMFOLOZI;01.05.1960;NATAL PB;01.06.1962;WHIPSNADE;31.07.1962;LONDON PR;14.10.1964;WHIPSNADE;24.05.1974;LONDON PR;24.06.1975;GLASGOW;15.10.1986;;;;;;;
21;m;01.01.1954;wild;wild;UMFOLOZI;TOUROPARC;09.07.2003;49,55068493;environ/behav condition, nervous mechanical abnormality;UMFOLOZI;01.01.1958;NATAL PB;01.01.1960;CHESTER;31.07.1962;TOUROPARC;18.07.1990;;;;;;;;;;;;;
22;f;01.01.1953;wild;wild;UMFOLOZI;CHESTER;21.11.1984;31,90958904;euthanasia;UMFOLOZI;01.07.1954;NATAL PB;01.01.1956;CHESTER;10.07.1967;;;;;;;;;;;;;;;
27;m;01.01.1954;wild;wild;SUDAN;;02.05.1975;21,34520548;;SUDAN;01.03.1954;SEAGO;30.06.1956;NZP-WASH;04.09.1956;SD-WAP;22.04.1972;;;;;;;;;;;;;
