Parent;Id;Sex;Birth date;Sire;Dam;Birth place;Location;Avg time between calves (years);Age on first calf (years);Offspring Count
Dam;1561;f;2000-01-01;wild;wild;S. AFRICA;LISIEUX Z;2,9;8,8;2
;1647;f;2008-10-08;wild;1561;LISIEUX Z;BEWDLEY;0;;
;2063;m;2011-08-30;1010;1561;LISIEUX Z;LISIEUX Z;0;;
Dam;563;f;1966-01-01;wild;wild;UMFOLOZI;UMFOLOZI;0;18,6;1
;798;f;1984-08-04;559;563;W PALM BE;W PALM BE;0;;
Dam;147;f;1963-01-01;wild;wild;UMFOLOZI;UMFOLOZI;12,1;13,1;2
;286;m;1976-01-19;52;147;SD-WAP;SD-WAP;0;;
;926;m;1988-02-15;420;147;SD-WAP;SD-WAP;0;;
Dam;1083;f;1993-01-01;wild;wild;UMFOLOZI;RAMAT GAN;1,7;14,7;2
;1630;m;2007-09-23;497;1083;RAMAT GAN;RAMAT GAN;0;;
;2013;m;2009-05-19;mult;1083;RAMAT GAN;RAMAT GAN;0;;
Dam;902;f;1980-01-01;wild;wild;NATAL SA;BUDAPEST;1,6;25,6;3
;1519;f;2005-08-09;578;902;BUDAPEST;BUDAPEST;0;;
;1610;f;2007-01-23;578;902;BUDAPEST;BUDAPEST;0;;
;1648;m;2008-10-22;88;902;BUDAPEST;ATTICAZOO;0;;
Dam;391;f;1969-04-01;wild;wild;UMFOLOZI;UMFOLOZI;5,9;9,9;2
;533;f;1979-03-05;390;391;JACKSONVL;JACKSONVL;0;;
;809;f;1985-01-15;390;391;JACKSONVL;JACKSONVL;0;;
Dam;1257;f;1978-01-01;wild;wild;S. AFRICAR;S. AFRICAR;0;18,3;1
;1207;f;1996-04-01;1253;1257;SABLE RAN;ERFURT;0;;
Dam;114;f;1967-01-01;wild;wild;UMFOLOZI;USTI;3,5;19,9;3
;865;m;1986-11-18;111;114;USTI;CABARCENO;0;;
;970;m;1991-01-13;111;114;USTI;USTI;0;;
;1029;m;1993-12-10;111;114;USTI;POZNAN;0;;
Dam;461;f;1972-01-01;wild;wild;UMFOLOZI;UMFOLOZI;0;8,1;1
;711;m;1980-01-20;459;461;TUNIS ZOO;TUNIS ZOO;0;;
Dam;210;f;1970-01-01;wild;wild;UMFOLOZI;WROCLAW;0;9,0;1
;531;m;1978-12-16;111;210;DVURKRALV;COULANGE;0;;
Dam;100;f;1968-01-01;wild;wild;UMFOLOZI;WHIPSNADE;2,1;6,7;2
;1187;m;1974-09-09;70;100;WHIPSNADE;WHIPSNADE;0;;
;342;f;1976-10-23;70;100;WHIPSNADE;WHIPSNADE;0;;
Dam;418;f;1971-01-01;wild;wild;UMFOLOZI;UMFOLOZI;0;8,9;1
;589;m;1979-12-11;413;418;KINGS ISL;SCHWERIN;0;;
Dam;154;f;1963-01-01;wild;wild;UMFOLOZI;UMFOLOZI;0;23,6;1
;863;f;1986-08-09;420;154;SD-WAP;AUGSBURG;0;;
Dam;150;f;1963-01-01;wild;wild;UMFOLOZI;UMFOLOZI;4,6;13,2;2
;333;f;1976-03-25;52;150;SD-WAP;SD-WAP;0;;
;649;f;1980-11-12;52;150;SD-WAP;PEAUGRES;0;;
Dam;352;f;1966-01-01;wild;wild;UMFOLOZI;KNOWSLEY;3,9;11,9;3
;712;m;1977-11-13;355;352;KNOWSLEY;KNOWSLEY;0;;
;828;m;1983-11-23;355;352;KNOWSLEY;MARWELL;0;;
;829;m;1985-08-25;355;352;KNOWSLEY;KESSINGLA;0;;
Dam;148;f;1968-11-17;wild;wild;UMFOLOZI;UMFOLOZI;0;7,0;1
;409;f;1975-12-02;51;148;COLUMBUS;GELSNKRKN;0;;
Dam;1362;f;1998-06-01;wild;wild;S. AFRICA;BANDHOLM;1,8;9,7;2
;1635;m;2008-02-06;1361;1362;BANDHOLM;BANDHOLM;0;;
;2014;f;2009-12-11;1361;1362;BANDHOLM;BANDHOLM;0;;
Dam;1416;f;1998-01-01;wild;wild;S. AFRICAR;MADRID Z;0;11,3;1
;1709;m;2009-04-29;250;1416;MADRID Z;MADRID Z;0;;
Dam;1697;f;2004-01-01;wild;wild;S. AFRICA;S. AFRICA;0;7,1;1
;T109;f;2011-02-21;1004;1697;HODENHAGN;HODENHAGN;0;;
Dam;1461;f;1999-01-01;wild;wild;S. AFRICA;SO LAKES;3,5;9,4;2
;1688;f;2008-06-01;1173;1461;SO LAKES;SO LAKES;0;;
;T107;m;2011-11-17;1173;1461;SO LAKES;SO LAKES;0;;
Dam;1460;f;1999-01-01;wild;wild;S. AFRICA;SO LAKES;0;9,7;1
;1689;m;2008-09-11;1173;1460;SO LAKES;SO LAKES;0;;
Dam;397;f;1972-01-01;wild;wild;UMFOLOZI;UMFOLOZI;0;9,2;1
;627;m;1981-03-03;40;397;MEMPHIS;ERFURT;0;;
Dam;155;f;1963-01-01;wild;wild;UMFOLOZI;UMFOLOZI;0;13,2;1
;287;m;1976-03-12;52;155;SD-WAP;SD-WAP;0;;
Dam;120;f;1962-01-01;wild;wild;UMFOLOZI;CABARCENO;2,4;17,3;2
;577;m;1979-04-15;116;120;LONGLEAT;BIOPARCVA;0;;
;652;f;1981-08-25;117;120;LONGLEAT;GIVSKUD;0;;
Dam;277;f;1966-09-18;wild;wild;UMFOLOZI;UMFOLOZI;3,1;15,2;3
;701;m;1981-11-16;52;277;SD-WAP;SD-WAP;0;;
