Parent;Id;Sex;Birth date;Sire;Dam;Birth place;Location;Avg time between calves (years);Age on first calf (years);Offspring Count
Dam;988;f;1992-10-20;491;915;HODENHAGN;CABARCENO;0;4,9;1
;1165;m;1997-09-29;404;988;CABARCENO;HILVARENB;0;;
Dam;962;f;1990-09-24;139;97;EDINBURGH;WHIPSNADE;2,8;6,4;4
;1171;f;1997-02-06;1011;962;WHIPSNADE;BORAS;0;;
;1339;f;2000-05-19;1011;962;WHIPSNADE;BORAS;0;;
;1425;f;2001-12-11;1011;962;WHIPSNADE;KESSINGLA;0;;
;1525;m;2005-08-08;1011;962;WHIPSNADE;KERKRADE;0;;
Dam;1338;f;2000-05-01;1011;329;WHIPSNADE;BORAS;0;11,6;1
;2067;f;2011-11-16;1233;1338;BORAS;BORAS;0;;
Dam;812;f;1985-01-05;340;403;MUNSTER;GIVSKUD;0;5,8;1
;967;f;1990-10-22;340;812;MUNSTER;BLAIRDRUM;0;;
Dam;1043;f;1994-11-01;491;496;HODENHAGN;HODENHAGN;0;5,2;1
;1280;f;2000-01-10;491;1043;HODENHAGN;VESZPREM;0;;
Dam;915;f;1988-08-30;491;496;HODENHAGN;HODENHAGN;0;4,1;1
;988;f;1992-10-20;491;915;HODENHAGN;CABARCENO;0;;
Dam;329;f;1976-10-07;70;104;WHIPSNADE;WHIPSNADE;2,6;8,3;10
;811;f;1985-02-03;70;329;WHIPSNADE;WHIPSNADE;0;;
;868;f;1986-08-15;89;329;WHIPSNADE;MARWELL;0;;
;918;m;1988-11-15;89;329;WHIPSNADE;PT ST PER;0;;
;974;m;1990-12-28;89;329;WHIPSNADE;MUNSTER;0;;
;1010;m;1992-11-16;89;329;WHIPSNADE;LISIEUX Z;0;;
;1047;f;1994-11-25;89;329;WHIPSNADE;HILVARENB;0;;
;1173;m;1997-04-08;1011;329;WHIPSNADE;SO LAKES;0;;
;1338;f;2000-05-01;1011;329;WHIPSNADE;BORAS;0;;
;1469;f;2003-04-16;1011;329;WHIPSNADE;WHIPSNADE;0;;
;1638;m;2008-03-25;1001;329;WHIPSNADE;WHIPSNADE;0;;
Dam;1047;f;1994-11-25;89;329;WHIPSNADE;HILVARENB;0;16,4;1
;2012;m;2011-04-02;1165;1047;HILVARENB;HILVARENB;0;;
Dam;1251;f;1999-09-10;1011;489;WHIPSNADE;GIVSKUD;1,9;5,3;2
;1501;f;2005-01-11;221;1251;GIVSKUD;CABARCENO;0;;
;1606;m;2006-12-12;221;1251;GIVSKUD;BLAIRDRUM;0;;
Dam;1208;f;1997-07-01;1253;1254;SABLE RAN;ERFURT;1,6;6,3;3
;1456;?;2003-10-02;532;1208;ERFURT;ERFURT;0;;
;1581;m;2005-07-11;627;1208;ERFURT;DORTMUND;0;;
;1609;f;2007-01-15;627;1208;ERFURT;WHIPSNADE;0;;
Dam;1339;f;2000-05-19;1011;962;WHIPSNADE;BORAS;0;8,7;1
;1658;m;2009-01-27;1223;1339;BORAS;BORAS;0;;
Dam;533;f;1979-03-05;390;391;JACKSONVL;JACKSONVL;0;9,1;1
;927;m;1988-03-21;390;533;JACKSONVL;JACKSONVL;0;;
Dam;907;f;1987-12-25;89;102;WHIPSNADE;ARNHEM;1,8;8,2;3
;1156;m;1996-03-18;343;907;EMMEN;EMMEN;0;;
;1183;m;1998-02-27;343;907;EMMEN;KOLMARDEN;0;;
;1288;m;1999-11-01;343;907;EMMEN;EMMEN;0;;
Dam;931;f;1987-05-30;405;406;PRET LICH;POZNAN;4,7;12,5;3
;1277;f;1999-11-18;1029;931;POZNAN;POZNAN;0;;
;1462;f;2003-11-19;1029;931;POZNAN;PEAUGRES;0;;
;1660;f;2009-03-15;1029;931;POZNAN;POZNAN;0;;
Dam;641;f;1981-02-27;MULT;242;RAMAT GAN;RAMAT GAN;2,1;4,7;6
;838;m;1985-11-24;unk;641;RAMAT GAN;RAMAT GAN;0;;
;787;f;1987-12-13;unk;641;RAMAT GAN;RAMAT GAN;0;;
;945;m;1989-05-22;497;641;RAMAT GAN;JERUSALEM;0;;
;1050;m;1992-02-04;unk;641;RAMAT GAN;RAMAT GAN;0;;
;1028;f;1993-09-17;487;641;RAMAT GAN;RAMAT GAN;0;;
;1084;f;1996-03-28;487;641;RAMAT GAN;RAMAT GAN;0;;
Dam;1026;f;1994-07-01;139;97;EDINBURGH;KNOWSLEY;1,8;5,6;7
;1318;f;2000-01-31;829;1026;KNOWSLEY;KNOWSLEY;0;;
;1562;f;2001-09-18;829;1026;KNOWSLEY;KNOWSLEY;0;;
;1439;f;2002-10-18;829;1026;KNOWSLEY;KNOWSLEY;0;;
;1472;m;2004-02-16;829;1026;KNOWSLEY;KNOWSLEY;0;;
;1591;m;2006-04-25;829;1026;KNOWSLEY;BURFORD;0;;
;1645;m;2008-07-28;829;1026;KNOWSLEY;LILLE ZO;0;;
;2041;f;2011-01-12;829;1026;KNOWSLEY;KNOWSLEY;0;;
Dam;654;f;1981-10-12;70;105;WHIPSNADE;WHIPSNADE;3,6;19,2;3
;1340;f;2000-12-15;1011;654;WHIPSNADE;ARNHEM;0;;
;1515;m;2005-06-09;1011;654;WHIPSNADE;MALTON;0;;
;1636;m;2008-03-07;1011;654;WHIPSNADE;ATTICAZOO;0;;
Dam;489;f;1978-06-30;70;102;WHIPSNADE;WHIPSNADE;2,8;21,2;4
;1251;f;1999-09-10;1011;489;WHIPSNADE;GIVSKUD;0;;
;1424;m;2001-11-22;1011;489;WHIPSNADE;MONTPELLI;0;;
;1526;m;2005-10-06;1011;489;WHIPSNADE;KERKRADE;0;;
;1632;m;2007-12-28;1011;489;WHIPSNADE;ATTICAZOO;0;;
Dam;989;f;1992-08-25;139;97;EDINBURGH;LISIEUX Z;1,4;6,1;2
;1196;m;1998-09-16;257;989;LISIEUX Z;LISIEUX Z;0;;
;1284;m;2000-02-16;257;989;LISIEUX Z;AUGSBURG;0;;
Dam;1203;f;1998-08-27;76;225;HILVARENB;HILVARENB;2,0;11,2;2
;2004;f;2009-11-21;1165;1203;HILVARENB;HILVARENB;0;;
;T105;m;2011-11-15;1165;1203;HILVARENB;HILVARENB;0;;
Dam;767;f;1982-12-25;221;225;HILVARENB;LA PALMYR;0;28,2;1
;2058;f;2011-03-19;796;767;PEAUGRES;LA PALMYR;0;;
Dam;967;f;1990-10-22;340;812;MUNSTER;BLAIRDRUM;3,5;9,8;4
;1344;m;2000-08-11;974;967;MUNSTER;MUNSTER;0;;
;1518;m;2005-07-26;974;967;MUNSTER;munster;0;;
;1695;f;2009-09-20;974;967;MUNSTER;LONGLEAT;0;;
;2066;m;2011-04-02;974;967;MUNSTER;MUNSTER;0;;
Dam;1220;f;1998-09-26;491;494;HODENHAGN;HODENHAGN;1,8;7,5;4
;1590;f;2006-04-01;1004;1220;HODENHAGN;HODENHAGN;0;;
